date,split,model,factor_return
1992-09-01,test,EN,0.0105815170661735
1992-10-01,test,EN,0.0064657554153974
1992-11-01,test,EN,0.0068968695886325
1992-12-01,test,EN,0.0163527833759838
1993-01-01,test,EN,0.0088390280545678
1993-02-01,test,EN,0.0042929333026594
1993-03-01,test,EN,0.0155112534911263
1993-04-01,test,EN,0.0016021679191707
1993-05-01,test,EN,-0.0004054410164193
1993-06-01,test,EN,0.0070698743214419
1993-07-01,test,EN,0.0060947191250563
1993-08-01,test,EN,-0.0008700823629544
1993-09-01,test,EN,0.0071715786322341
1993-10-01,test,EN,-0.0004160406298556
1993-11-01,test,EN,0.0016249374931022
1993-12-01,test,EN,0.0210212010535618
1994-01-01,test,EN,0.0038506846085995
1994-02-01,test,EN,-0.0047177742714148
1994-03-01,test,EN,0.0111669473871908
1994-04-01,test,EN,0.0155214170719864
1994-05-01,test,EN,0.0065244422240441
1994-06-01,test,EN,0.0107662069411099
1994-07-01,test,EN,0.0088032206430978
1994-08-01,test,EN,0.0105393860740895
1994-09-01,test,EN,0.0084663029282146
1994-10-01,test,EN,0.0100603550481124
1994-11-01,test,EN,0.0164039049465386
1994-12-01,test,EN,0.0262228175741017
1995-01-01,test,EN,0.0168218263136567
1995-02-01,test,EN,0.0106182607134076
1995-03-01,test,EN,0.008944799842241
1995-04-01,test,EN,0.0104121603450226
1995-05-01,test,EN,0.0033714809057331
1995-06-01,test,EN,0.0060681076955955
1995-07-01,test,EN,0.0075808460137995
1995-08-01,test,EN,0.0127043460588425
1995-09-01,test,EN,0.0112245528820118
1995-10-01,test,EN,0.0234756659243485
1995-11-01,test,EN,0.0125789999814374
1995-12-01,test,EN,0.006368449765122
1996-01-01,test,EN,0.0076429486882306
1996-02-01,test,EN,0.0079933186589848
1996-03-01,test,EN,-0.0038232518407569
1996-04-01,test,EN,0.0004097454249037
1996-05-01,test,EN,-0.0108608170902256
1996-06-01,test,EN,0.0167031755843776
1996-07-01,test,EN,0.0093112354844807
1996-08-01,test,EN,0.0159271692950901
1996-09-01,test,EN,0.0059373127551729
