,count,mean,std,min,25%,50%,75%,max
dndgrg3m086sbea,600.0,-1.7133767345707916e-06,0.006352907603604302,-0.0373652263925334,-0.0027216396955164,7.040695429472166e-05,0.002941655117353625,0.0276712665470189
dserrg3m086sbea,600.0,-8.555855259709606e-07,0.0016814974963554347,-0.0093881562888471,-0.00087964991343745,-6.796327301872296e-05,0.000831443978565625,0.0160165406495673
ces0600000008,600.0,-3.0566171168255847e-06,0.00378299204121781,-0.0295092033723887,-0.00196073663739555,-1.2120789674274768e-05,0.001929427240393975,0.0193025268769964
ces2000000008,600.0,-8.3353649606937e-06,0.007732356640793586,-0.0543054094417954,-0.002994693012794725,-2.3774877424553864e-05,0.0030503151743952,0.0322746594629905
ces3000000008,600.0,-3.872251182060282e-06,0.004358611154805559,-0.0268675205310362,-0.002226463418238425,-1.017490664545484e-05,0.0021046082174583252,0.0199070995540207
mzmsl,600.0,6.485844476949076e-06,0.005889589737412465,-0.0344909069992906,-0.00218751068013765,2.8833568419539546e-05,0.0023358010816262502,0.0595940956630798
dtcolnvhfnm,600.0,-1.3040077905453751e-05,0.026547118798984012,-0.1759036522885395,-0.0080137758202978,0.00060049635618225,0.0074052082642541255,0.1873078682562816
dtcthfnm,600.0,-8.632649064673707e-06,0.021984361764717655,-0.2595622935583002,-0.00490776080510795,0.0005940166468807,0.00509108343166435,0.2580501524321068
invest,600.0,-1.4670936348037651e-05,0.010829886223961763,-0.0808000069332903,-0.005715678950443475,0.0004314328332237,0.00586348758570885,0.0493884213991391
vxoclsx,600.0,19.768416666666667,7.209760225118103,10.1531,14.78865,17.82045,22.78435,67.15100000000001
a2me,600.0,0.00035506803534934145,0.07285900777712315,-0.4861910234501443,0.0,0.0,0.0,0.7144593076768636
ac,600.0,-5.360196666666649e-05,0.00313863586368334,-0.029425311,0.0,0.0,0.0,0.028933865
at,600.0,0.0,0.04286518825519619,-0.2700571216246548,0.0,0.0,0.0,0.2700571216246548
ato,600.0,-0.0011622730152945134,0.020116237878085398,-0.1450444019848592,0.0,0.0,0.0,0.1363334141999458
beme,600.0,-5.1446365870208657e-05,0.06331845215497994,-0.3675596769122025,0.0,0.0,0.0,0.5743979374194058
beta,600.0,0.8981078805799999,0.2345632275034277,0.422497423,0.758041508,0.9230482755,1.049502141,1.639837051
c,600.0,0.0002747534831842017,0.030577323056590062,-0.1829103000952927,0.0,0.0,0.0,0.2996736290868766
