feature,train_mean_raw,train_std_raw,train_mean_standardized,train_std_standardized,full_standardized_min,full_standardized_max
isratiox,-9.97465998686664e-19,0.020918935396932715,-9.25185853854297e-18,1.0,-2.963188796361446,5.432512785362063
m1sl,5.7623020940127664e-05,0.004936201452389215,-7.401486830834377e-18,1.0,-16.394689205160255,9.097489118372492
m2sl,7.50472743317669e-06,0.0027337591083264326,4.070817756958907e-17,1.0,-8.590161944947335,5.838133667840994
m2real,0.0021754777167895447,0.005345566278720955,3.7007434154171884e-18,1.0,-3.2455808941925586,5.221161454656036
ambsl,3.4945182581558086e-05,0.004922552300647501,-1.6653345369377347e-17,0.9999999999999999,-28.40674063274045,26.90208998519461
totresns,0.00015534027662203736,0.031158218900372642,2.0354088784794535e-17,1.0,-20.13013658062688,26.108694356604133
nonborres,0.00014396270815218032,0.03573135615022509,-7.401486830834377e-18,0.9999999999999999,-507.5027446467275,595.2155880880282
busloans,3.12522303184808e-05,0.0059724669819936635,-5.551115123125783e-18,1.0,-7.143218722659761,4.077914564447475
realln,2.6780988412648984e-05,0.002655894783423605,-2.960594732333751e-17,1.0,-15.875409146319125,14.030773942789153
nonrevsl,-2.8662355918538783e-05,0.009016885717160663,-1.1102230246251566e-17,1.0,-9.454654171775974,9.44962998034031
conspi,-9.561573333333335e-05,0.0010414290113785285,7.401486830834377e-18,0.9999999999999999,-8.692472715623548,8.526700942946684
s&p_500,0.004613919167804862,0.03592656943270267,-1.4802973661668754e-17,1.0,-6.475951868266208,3.031422712633047
s&p:_indust,0.004805122977231753,0.03637806624716311,1.4802973661668754e-17,1.0,-6.2831467109091,3.0080878998466187
s&p_div_yield,-0.0007519636666666686,0.1618269126635861,5.551115123125783e-18,1.0,-3.923909310767065,3.65918641664794
s&p_pe_ratio,0.00046623798003298406,0.039693043508456954,0.0,1.0,-5.603918644835085,5.913886981507776
fedfunds,0.001166666666666664,0.8409777873932752,-6.47630097698008e-18,0.9999999999999999,-7.885067555970612,3.637234394519031
cp3mx,-0.0010000000000000091,0.8098018276096935,9.25185853854297e-18,1.0,-7.766097563107942,3.7428910341517208
tb3ms,0.0001249999999999918,0.6863875734901287,0.0,0.9999999999999999,-6.7310731989329105,3.8023342799307467
tb6ms,-0.000541666666666668,0.6378055789950587,7.401486830834377e-18,1.0,-6.631265816140031,3.4031399820720014
gs1,0.001083333333333338,0.658725784922848,-1.1102230246251566e-17,1.0,-5.937346651446796,2.882711911587117
gs5,0.005833333333333326,0.45069591251258934,-1.8503717077085942e-18,1.0,-4.517088522023074,4.1140081708969864
gs10,0.008708333333333328,0.3753026533309113,2.590520390792032e-17,1.0,-4.712752008640424,4.266667588024691
aaa,0.013874999999999993,0.29882754398091665,7.401486830834377e-18,1.0,-3.995197310446862,4.27043967567292
baa,0.016416666666666666,0.2601147049326935,-1.1102230246251566e-17,1.0,-3.984460113221382,5.9726855263155345
compapffx,-0.07295833333333332,0.5787774456535277,-2.960594732333751e-17,0.9999999999999999,-4.6771720062622775,3.9617271725995384
tb3smffm,-0.9168333333333333,0.9670328185859166,-4.4408920985006264e-17,0.9999999999999999,-4.604979873566744,1.6512710868162348
tb6smffm,-0.7369166666666666,1.0816952711934273,-7.401486830834377e-17,0.9999999999999999,-3.9503577829446073,1.781385865300781
t1yffm,-0.1575,1.155122468254629,0.0,1.0,-4.192196180996235,1.5993975104575204
t5yffm,0.26908333333333334,1.859429121994765,-1.6653345369377347e-17,0.9999999999999999,-3.5382275428037833,1.5547334568823676
t10yffm,0.3605833333333333,2.0770063777118155,3.7007434154171884e-18,0.9999999999999999,-3.307925968384593,1.6800221242030404
aaaffm,1.029,2.224997528088515,2.960594732333751e-17,0.9999999999999999,-3.280453082691978,2.1128113360371272
baaffm,2.260166666666667,2.337720928359262,-1.7763568394002506e-16,0.9999999999999999,-2.6992814198294752,2.8060805948883627
exszusx,-0.003922150226381557,0.02740443173003041,-1.4802973661668754e-17,1.0,-3.048245114039938,4.407793977530875
exjpusx,-0.0033354009909720684,0.02410363037907695,-7.401486830834377e-18,1.0,-4.2272341002845515,3.4846533915735343
exusukx,-0.002804610123652081,0.022150859810007063,2.960594732333751e-17,1.0,-4.873671955473574,4.424648196698877
excausx,0.0010314580051801205,0.008712664321190056,4.4408920985006264e-17,1.0,-7.015679645567714,12.842084161715896
wpsfd49207,-4.027710962894743e-06,0.006310926720422535,-2.4054832200211726e-17,1.0,-5.825039148474937,5.837454135555969
wpsfd49502,7.580598345204691e-06,0.00768953816502895,0.0,0.9999999999999999,-6.117710379554986,6.13721364655633
wpsid61,-1.2960093393304696e-05,0.007305280541518696,1.1102230246251566e-17,0.9999999999999999,-6.066029782871424,6.077773676833979
wpsid62,8.621309509821452e-05,0.031478707396226636,7.401486830834377e-18,1.0,-10.04030081234844,7.816871060542232
oilpricex,9.842213268120377e-05,0.10080814108426825,6.938893903907228e-18,0.9999999999999999,-8.458498905724507,8.456546243337867
ppicmm,-3.242558517522985e-05,0.02549039603261243,1.4802973661668754e-17,1.0,-8.06919276672612,5.562223538643613
cpiaucsl,3.7517161117577003e-06,0.0028710903015407236,5.551115123125783e-18,1.0,-4.70443417529035,6.246389728993019
cpiappsl,3.3175288648096056e-06,0.003487530186254167,1.3415194880887308e-17,0.9999999999999999,-7.693583363250996,7.9563028478538484
cpitrnsl,-3.033722864658409e-07,0.00651959593228121,-3.608224830031759e-17,0.9999999999999999,-11.380599046716226,9.50542494942129
cpimedsl,-4.218897466722859e-06,0.00348595014896452,-9.25185853854297e-18,0.9999999999999999,-4.4298616833434385,3.638731307905925
cusr0000sac,8.005125741226905e-06,0.0041183339978725165,1.4802973661668754e-17,1.0,-8.436863478944451,6.17005200435255
