feature,train_mean,train_std,safe_train_std,zero_std_feature
dtcolnvhfnm,-0.00011095725496146136,0.022303656309549922,0.022303656309549922,False
dtcthfnm,-6.471876159164146e-05,0.014147741012210753,0.014147741012210753,False
invest,-1.3903756664506317e-05,0.01057496129793661,0.01057496129793661,False
vxoclsx,18.680138333333336,4.745568299813756,4.745568299813756,False
a2me,0.0009611552182234033,0.07868881369015426,0.07868881369015426,False
ac,-6.234461666666706e-05,0.004265435104292384,0.004265435104292384,False
at,0.0,0.03739432599698843,0.03739432599698843,False
ato,-0.0002964113481459826,0.022632020418537284,0.022632020418537284,False
beme,0.0005815529998539195,0.07342840021033431,0.07342840021033431,False
beta,1.0177688124708333,0.20961844171647154,0.20961844171647154,False
c,-0.0004916274029009073,0.03687771365761953,0.03687771365761953,False
cf,-0.0003820312958333316,0.0026745664321947264,0.0026745664321947264,False
cf2p,-0.0005419998988500772,0.07627990578030934,0.07627990578030934,False
cto,-0.001088324427463254,0.019454954401118513,0.019454954401118513,False
d2a,0.0005055115587397951,0.009910030650401759,0.009910030650401759,False
d2p,-3.0291474999997497e-05,0.000316506286996606,0.000316506286996606,False
dpi2a,-0.0018363889413297626,0.1115987182255118,0.1115987182255118,False
e2p,-0.0015412329983665281,0.08185047557113932,0.08185047557113932,False
fc2y,0.0021837994320564233,0.0114059775338332,0.0114059775338332,False
idiovol,0.0006676044193134093,0.17059026479504902,0.17059026479504902,False
investment,-0.001121094411036636,0.11667775157659128,0.11667775157659128,False
lev,-0.0018476523152868604,0.02774360743402713,0.02774360743402713,False
lme,-0.00018291150988035849,0.11252341479189307,0.11252341479189307,False
lt_rev,0.0015287569666666613,0.11311901541584221,0.11311901541584221,False
lturnover,0.00382825494338535,0.20355296349215182,0.20355296349215182,False
mktbeta,1.1409317306625,0.11759418233009956,0.11759418233009956,False
ni,0.00533658452499998,0.005193329970061242,0.005193329970061242,False
noa,0.00018034453088521026,0.018598096384439954,0.018598096384439954,False
oa,-6.442186666666751e-05,0.0025685319178035716,0.0025685319178035716,False
ol,-0.0007727563445891328,0.011039343104470807,0.011039343104470807,False
op,-0.0012904175767777207,0.020010292277595362,0.020010292277595362,False
pcm,0.0003069049567299688,0.005687356156826972,0.005687356156826972,False
pm,-0.0023205655514256865,0.02523065149657591,0.02523065149657591,False
prof,0.00017404319091829455,0.013942626568341368,0.013942626568341368,False
q,-0.0010651812705829438,0.034746517000208484,0.034746517000208484,False
r2_1,7.801458333333404e-05,0.06666843034126042,0.06666843034126042,False
r12_2,0.0009626890166666636,0.08393959620907664,0.08393959620907664,False
r12_7,0.000810695625000001,0.07898874453350395,0.07898874453350395,False
r36_13,-0.0014762826541666685,0.09232581445744102,0.09232581445744102,False
rel2high,0.00036244339747748994,0.058846500683375144,0.058846500683375144,False
resid_var,0.001074653061445699,0.10615211499111818,0.10615211499111818,False
